Actual,GLM,Random.Forest
7.2,5.61648951056852,9.58036286242485
18.8,20.0161037802184,18.7806633333333
19,20.5634193170625,20.20779
27,32.7846474131032,28.1849933333333
22.2,25.6350070251071,22.2438266666667
24.5,19.4704910649046,20.47913
31.2,29.2577753228683,30.1399733333333
22.9,25.3729159219977,22.6308666666667
20.5,18.7834440997602,17.9667033333333
23.2,21.6975073884346,19.2925430040861
18.6,18.9135979359007,19.1801803030303
14.5,17.2131866290732,18.8278568398269
17.8,14.7927034399087,16.2713952380953
50,35.3169874396055,41.1916366666667
20.8,16.961893658686,16.9806541962392
24.3,20.2008982131897,20.8451483333333
24.2,24.8077266028987,23.8373133333334
19.8,21.4038602253685,21.2858522222222
19.1,18.7472207667398,17.9623060863994
22.7,21.5038796051323,20.4514842560354
12,9.06284813591549,15.6708540412801
10.2,14.2550066598932,15.0726552238637
20,21.7701425451681,20.63139
18.5,13.2286361002401,19.0588033333333
20.9,22.9227199281109,21.63733
23,22.9564820135602,21.0112219317598
27.5,32.2706516812715,25.8681366666667
30.1,26.9788439453891,30.31376
9.5,10.3419616290716,10.113785905852
22,21.234822381446,20.9408633333333
21.2,22.7485716761405,20.2007976190476
14.1,16.5585190634203,15.6174884469411
33.1,35.9026192603783,31.1601666666667
23.4,23.6070410450148,23.1587633333334
20.1,16.9207363514773,17.6044371366761
7.4,1.55654098233968,9.01680407800087
15.4,11.9505495356122,15.3393152380953
23.8,21.8462050013306,19.3699814285714
20.1,15.0115933586822,19.54542
24.5,28.7604033630477,25.99047
33,23.4433653734629,31.5166166666667
28.4,28.4104029726571,25.7051366666667
14.1,15.5683444786495,13.6522973121522
46.7,34.8452020995742,41.77593
32.5,30.9066759333775,29.5310733333334
29.6,24.0242802231674,24.62056
28.4,30.9148308282537,25.494
19.8,17.3287320012533,20.0922333333333
20.2,21.2999104278344,20.0829128352147
25,23.8483938944131,22.1759966666667
35.4,32.513848680715,34.5739633333333
20.3,18.8684067881944,21.1093
9.7,7.44656134787473,10.2725973031261
14.5,12.5462561547005,16.4198866017316
34.9,35.2704632089144,33.5241933333333
26.6,27.5622233619262,25.8542233333334
7.2,15.2510905599983,10.7362994375751
50,40.1624091961359,40.00851
32.4,37.2613941065576,31.3994733333334
21.6,24.6731259936788,22.74552
29.8,24.5789828900955,23.908500165768
13.1,18.4930346112881,12.677437250128
27.5,17.3521936646347,16.5120485737164
21.2,20.3395366287963,20.3608383333333
23.1,24.5037711232758,23.36357
21.9,25.4322652726776,23.0540333333333
13,15.2055525146015,13.5329746009997
23.2,27.9690895973615,23.3733433333333
8.1,1.692324465839,15.7186519047619
5.6,7.84375145457463,9.06328722103431
21.7,21.9917935312158,20.4138228735178
29.6,25.1844133924436,30.0167516666667
19.6,22.6433068675919,19.868842799273
7,6.6476805159926,15.5622602380952
26.4,29.1443370879521,23.1149966666667
18.9,21.2530343130155,20.6332733333333
20.9,20.9213749325882,20.5016733333333
28.1,24.4485526880457,22.8228233333333
35.4,34.5419193884388,34.16932
10.2,3.38276245781276,9.69361391755745
24.3,24.0040886177712,21.1497633333334
43.1,36.5478747226396,36.9019369047619
17.6,16.6455959687104,18.8710633333333
15.4,15.8011782768908,12.7764750090817
16.2,19.8916054066301,20.4406866666667
27.1,18.7872922177281,18.1897961904762
21.4,20.1142450680712,19.4398336858227
21.5,24.4124980468546,19.73546
22.4,22.4085255206364,20.7626033333333
25,28.2373606796655,28.7152999439776
16.6,17.1602214871357,19.7063333333333
18.6,18.0083397370409,21.3043233333333
22,27.4023881032831,25.6711866666667
42.8,29.8892014239651,39.0513616666667
35.1,35.4754809471664,31.49484
21.5,18.5729185775583,18.0383135714286
36,35.9172503541177,31.8066369047619
21.9,36.9593058428788,35.1145765079365
24.1,25.1613260076763,23.6367033333333
50,40.5760345633808,46.91608
26.7,33.4064234105524,26.85014
25,24.2556494769792,20.6312828571428
